name,age,height,citizenship,position,foot,current club,current league
Denys Bain,27,"1,81 m",France  Benin,Defender - Centre-Back,both,Stade Brest 29,Ligue 1
Romain Perraud,23,"1,73 m",France,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Lilian Brassier,21,"1,84 m",France  Guadeloupe,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Ludovic Baal,34,"1,76 m",French Guiana  France,Defender - Left-Back,left,Stade Brest 29,Ligue 1
Ronaël Pierre-Gabriel,22,"1,77 m",France,Defender - Right-Back,right,Stade Brest 29,Ligue 1
Julien Faussurier,33,"1,73 m",France,Defender - Right-Back,right,Stade Brest 29,Ligue 1
Paul Lasne,31,"1,86 m",France,midfield - Defensive Midfield,left,Stade Brest 29,Ligue 1
Idrissa Dioh,21,"1,87 m",France,midfield - Defensive Midfield,right,Stade Brest 29,Ligue 1
Romain Faivre,22,"1,80 m",France  Algeria,midfield - Central Midfield,left,Stade Brest 29,Ligue 1
Haris Belkebla,26,"1,77 m",Algeria  France,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Cristian Battocchio,28,"1,77 m",Italy  Argentina,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Hianga'a M'Bock,21,"1,86 m",France  Cameroon,midfield - Central Midfield,right,Stade Brest 29,Ligue 1
Hugo Magnetti,22,"1,72 m",France,midfield - Central Midfield,left,Stade Brest 29,Ligue 1
Ferris N'Goma,27,"1,75 m",France  DR Congo,midfield - Central Midfield,both,Stade Brest 29,Ligue 1
Heriberto Tavares,23,"1,81 m",Portugal  Cape Verde,attack - Left Winger,left,Stade Brest 29,Ligue 1
Romain Philippoteaux,32,"1,70 m",France,attack - Left Winger,both,Stade Brest 29,Ligue 1
Franck Honorat,24,"1,80 m",France,attack - Right Winger,right,Stade Brest 29,Ligue 1
Irvin Cardona,23,"1,85 m",France  Malta,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Steve Mounié,26,"1,90 m",Benin  France,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Gaëtan Charbonnier,32,"1,88 m",France,attack - Centre-Forward,right,Stade Brest 29,Ligue 1
Jérémy Le Douaron,22,"1,89 m",France,attack - Centre-Forward,left,Stade Brest 29,Ligue 1
Rafiki Saïd,20,"1,78 m",Comoros  France,attack - Centre-Forward,both,Stade Brest 29,Ligue 1
Paul Bernardoni,23,"1,90 m",France,Goalkeeper,left,SCO Angers,Ligue 1
Danijel Petkovic,27,"1,96 m",Montenegro,Goalkeeper,right,SCO Angers,Ligue 1
Ludovic Butelle,37,"1,88 m",France,Goalkeeper,left,SCO Angers,Ligue 1
Romain Thomas,32,"1,93 m",France,Defender - Centre-Back,right,SCO Angers,Ligue 1
Ismaël Traoré,34,"1,84 m",Cote d'Ivoire  France,Defender - Centre-Back,right,SCO Angers,Ligue 1
Mateo Pavlovic,30,"1,94 m",Croatia,Defender - Centre-Back,right,SCO Angers,Ligue 1
Kévin Boma,18,"1,87 m",France  Togo,Defender - Centre-Back,right,SCO Angers B,Ligue 1
Elhadji Pape Diaw,26,"1,94 m",Senegal,Defender - Centre-Back,left,SCO Angers,Ligue 1
Souleyman Doumbia,24,"1,83 m",Cote d'Ivoire  France,Defender - Left-Back,left,SCO Angers,Ligue 1
Enzo Ebosse,21,"1,85 m",France  Cameroon,Defender - Left-Back,left,SCO Angers,Ligue 1
Abdoulaye Bamba,30,"1,82 m",Cote d'Ivoire  Italy,Defender - Right-Back,right,SCO Angers,Ligue 1
Vincent Manceau,31,"1,76 m",France,Defender - Right-Back,right,SCO Angers,Ligue 1
Haithem Loucif,24,"1,77 m",Algeria,Defender - Right-Back,right,SCO Angers,Ligue 1
Ibrahim Amadou,27,"1,83 m",France  Cameroon,midfield - Defensive Midfield,right,SCO Angers,Ligue 1
Zinédine Ould Khaled,20,"1,95 m",France  Algeria,midfield - Defensive Midfield,right,SCO Angers,Ligue 1
Angelo Fulgini,24,"1,83 m",France  Cote d'Ivoire,midfield - Central Midfield,right,SCO Angers,Ligue 1
Antonin Bobichon,25,"1,78 m",France,midfield - Central Midfield,right,SCO Angers,Ligue 1
Thomas Mangani,33,"1,83 m",France  Italy,midfield - Central Midfield,left,SCO Angers,Ligue 1
Lassana Coulibaly,24,"1,83 m",Mali,midfield - Central Midfield,right,SCO Angers,Ligue 1
Mathias Pereira Lage,24,"1,80 m",Portugal  France,midfield - Left Midfield,right,SCO Angers,Ligue 1
Pierrick Capelle,33,"1,81 m",France,midfield - Left Midfield,left,SCO Angers,Ligue 1
Waniss Taïbi,18,"1,84 m",France  Algeria,midfield - Attacking Midfield,both,SCO Angers B,Ligue 1
Sofiane Boufal,27,"1,75 m",Morocco  France,attack - Left Winger,right,SCO Angers,Ligue 1
Thomas Touré,27,"1,75 m",Cote d'Ivoire  France,attack - Left Winger,right,SCO Angers,Ligue 1
Sada Thioub,25,"1,79 m",Senegal  France,attack - Right Winger,right,SCO Angers,Ligue 1
Jimmy Cabot,26,"1,64 m",France,attack - Right Winger,right,SCO Angers,Ligue 1
Farid El Melali,23,"1,68 m",Algeria,attack - Right Winger,both,SCO Angers,Ligue 1
Mohamed-Ali Cho,16,"1,82 m",France  England,attack - Right Winger,left,SCO Angers,Ligue 1
Noah Fatar,18,"1,70 m",France  Morocco,attack - Right Winger,left,SCO Angers B,Ligue 1
Kevin Bemanga,22,"1,75 m",France  Congo,attack - Right Winger,right,SCO Angers,Ligue 1
Stéphane Bahoken,28,"1,85 m",Cameroon  France,attack - Centre-Forward,right,SCO Angers,Ligue 1
Rachid Alioui,28,"1,86 m",Morocco  France,attack - Centre-Forward,right,SCO Angers,Ligue 1
Loïs Diony,28,"1,83 m",France  Martinique,attack - Centre-Forward,right,SCO Angers,Ligue 1
Wuilker Fariñez,22,"1,80 m",Venezuela,Goalkeeper,right,RC Lens,Ligue 1
Jean-Louis Leca,35,"1,80 m",France,Goalkeeper,right,RC Lens,Ligue 1
Didier Desprez,21,"1,89 m",France,Goalkeeper,right,RC Lens,Ligue 1
Facundo Medina,21,"1,84 m",Argentina,Defender - Centre-Back,left,RC Lens,Ligue 1
Loïc Badé,20,"1,91 m",France,Defender - Centre-Back,right,RC Lens,Ligue 1
Jonathan Gradit,28,"1,80 m",France,Defender - Centre-Back,right,RC Lens,Ligue 1
Steven Fortes,28,"1,92 m",Cape Verde  France,Defender - Centre-Back,right,RC Lens,Ligue 1
Aleksandar Radovanovic,27,"1,89 m",Serbia,Defender - Centre-Back,left,RC Lens,Ligue 1
Zakaria Diallo,34,"1,94 m",France  Senegal,Defender - Centre-Back,right,RC Lens,Ligue 1
Issiaga Sylla,27,"1,80 m",Guinea,Defender - Left-Back,left,RC Lens,Ligue 1
Massadio Haidara,28,"1,79 m",Mali  France,Defender - Left-Back,left,RC Lens,Ligue 1
Ismaël Boura,20,"1,73 m",France  Comoros,Defender - Left-Back,left,RC Lens,Ligue 1
Clément Michelin,23,"1,78 m",France,Defender - Right-Back,right,RC Lens,Ligue 1
Jonathan Clauss,28,"1,78 m",France,Defender - Right-Back,right,RC Lens,Ligue 1
Cheick Traoré,25,"1,74 m",Mali  France,Defender - Right-Back,right,RC Lens,Ligue 1
Cheick Doucouré,21,"1,80 m",Mali,midfield - Defensive Midfield,right,RC Lens,Ligue 1
Yannick Cahuzac,35,"1,78 m",France,midfield - Defensive Midfield,right,RC Lens,Ligue 1
Seko Fofana,25,"1,83 m",Cote d'Ivoire  France,midfield - Central Midfield,right,RC Lens,Ligue 1
Gaël Kakuta,29,"1,73 m",DR Congo  France,midfield - Attacking Midfield,left,RC Lens,Ligue 1
Tony Mauricio,26,"1,69 m",France  Portugal,midfield - Attacking Midfield,left,RC Lens,Ligue 1
David Costa,20,"1,68 m",Portugal,midfield - Attacking Midfield,left,RC Lens,Ligue 1
Adam Oudjani,19,"1,85 m",Algeria  France,midfield - Attacking Midfield,right,RC Lens,Ligue 1
Ignatius Ganago,21,"1,79 m",Cameroon  Nigeria,attack - Centre-Forward,right,RC Lens,Ligue 1
Arnaud Kalimuendo,18,"1,78 m",France  DR Congo,attack - Centre-Forward,right,RC Lens,Ligue 1
Florian Sotoca,30,"1,87 m",France,attack - Centre-Forward,right,RC Lens,Ligue 1
Corentin Jean,25,"1,70 m",France,attack - Centre-Forward,right,RC Lens,Ligue 1
Simon Banza,24,"1,89 m",France  DR Congo,attack - Centre-Forward,right,RC Lens,Ligue 1
Alexandre Oukidja,32,"1,84 m",Algeria  France,Goalkeeper,right,FC Metz,Ligue 1
Marc-Aurèle Caillard,26,"1,91 m",France,Goalkeeper,right,FC Metz,Ligue 1
Paul Delecroix,32,"1,85 m",France,Goalkeeper,right,FC Metz,Ligue 1
Dylan Bronn,25,"1,86 m",Tunisia  France,Defender - Centre-Back,right,FC Metz,Ligue 1
Kiki Kouyaté,23,"1,92 m",Mali,Defender - Centre-Back,both,FC Metz,Ligue 1
John Boye,33,"1,84 m",Ghana,Defender - Centre-Back,right,FC Metz,Ligue 1
Lenny Lacroix,17,"1,86 m",France,Defender - Centre-Back,,FC Metz,Ligue 1
Matthieu Udol,24,"1,78 m",France  Guadeloupe,Defender - Left-Back,left,FC Metz,Ligue 1
Thomas Delaine,28,"1,80 m",France,Defender - Left-Back,left,FC Metz,Ligue 1
Manuel Cabit,27,"1,80 m",Martinique  France,Defender - Left-Back,left,FC Metz,Ligue 1
Fabien Centonze,24,"1,82 m",France,Defender - Right-Back,right,FC Metz,Ligue 1
Ernest Boahene,20,"1,72 m",Ghana,Defender - Right-Back,right,FC Metz,Ligue 1
Habib Maïga,25,"1,81 m",Cote d'Ivoire,midfield - Defensive Midfield,right,FC Metz,Ligue 1
Mamadou Fofana,22,"1,86 m",Mali,midfield - Defensive Midfield,right,FC Metz,Ligue 1
Kévin N'Doram,24,"1,85 m",France  Chad,midfield - Defensive Midfield,right,FC Metz,Ligue 1
Vincent Pajot,30,"1,80 m",France,midfield - Defensive Midfield,right,FC Metz,Ligue 1
Victorien Angban,24,"1,80 m",Cote d'Ivoire,midfield - Central Midfield,right,FC Metz,Ligue 1
Boubacar Traoré,19,"1,83 m",Mali,midfield - Central Midfield,,FC Metz,Ligue 1
Warren Tchimbembé,22,"1,80 m",France  Congo,midfield - Right Midfield,right,FC Metz,Ligue 1
Youssef Maziz,22,"1,75 m",France  Morocco,midfield - Left Midfield,right,FC Metz,Ligue 1
Opa Nguette,26,"1,82 m",Senegal  France,attack - Left Winger,right,FC Metz,Ligue 1
Adama Traoré,25,"1,77 m",Mali,attack - Left Winger,left,FC Metz,Ligue 1
Farid Boulaya,27,"1,80 m",Algeria  France,attack - Right Winger,right,FC Metz,Ligue 1
Vagner,25,"1,68 m",Cape Verde  Portugal,attack - Right Winger,right,FC Metz,Ligue 1
Lamine Gueye,22,"1,78 m",Senegal,attack - Right Winger,,FC Metz,Ligue 1
Papa Ndiaga Yade,21,"1,86 m",Senegal,attack - Second Striker,left,FC Metz,Ligue 1
Ibrahima Niane,21,"1,87 m",Senegal,attack - Centre-Forward,right,FC Metz,Ligue 1
Thierry Ambrose,23,"1,78 m",France  Guadeloupe,attack - Centre-Forward,right,FC Metz,Ligue 1
Aaron Leya Iseka,23,"1,82 m",Belgium  DR Congo,attack - Centre-Forward,right,FC Metz,Ligue 1
Anthony Racioppi,22,"1,89 m",Switzerland,Goalkeeper,right,Dijon FCO,Ligue 1
Saturnin Allagbé,27,"1,87 m",Benin  France,Goalkeeper,right,Dijon FCO,Ligue 1
Lévi Ntumba,19,"1,94 m",France  DR Congo,Goalkeeper,left,Dijon FCO,Ligue 1
Jonathan Panzo,20,"1,85 m",England  Cote d'Ivoire,Defender - Centre-Back,left,Dijon FCO,Ligue 1
Bruno Ecuele Manga,32,"1,86 m",Gabon  France,Defender - Centre-Back,right,Dijon FCO,Ligue 1
Wesley Lautoa,33,"1,84 m",France,Defender - Centre-Back,left,Dijon FCO,Ligue 1
Senou Coulibaly,26,"1,93 m",France  Mali,Defender - Centre-Back,right,Dijon FCO,Ligue 1
Arthur Zagre,19,"1,68 m",France  Burkina Faso,Defender - Left-Back,left,Dijon FCO,Ligue 1
Aníbal Chalá,24,"1,78 m",Ecuador,Defender - Left-Back,left,Dijon FCO,Ligue 1
Ngonda Muzinga,26,"1,82 m",DR Congo,Defender - Left-Back,left,Dijon FCO,Ligue 1
Sacha Boey,20,"1,78 m",France  Cameroon,Defender - Right-Back,right,Dijon FCO,Ligue 1
Fouad Chafik,34,"1,83 m",Morocco  France,Defender - Right-Back,right,Dijon FCO,Ligue 1
Ahmad Ngouyamsa,20,"1,76 m",Cameroon,Defender - Right-Back,right,Dijon FCO,Ligue 1
Wilitty Younoussa,19,"1,74 m",Cameroon,midfield - Defensive Midfield,right,Dijon FCO,Ligue 1
Pape Cheikh,23,"1,80 m",Senegal  Spain,midfield - Central Midfield,right,Dijon FCO,Ligue 1
Didier Ndong,26,"1,79 m",Gabon,midfield - Central Midfield,right,Dijon FCO,Ligue 1
Jordan Marié,29,"1,77 m",France,midfield - Central Midfield,right,Dijon FCO,Ligue 1
Bersant Celina,24,"1,81 m",Kosovo  Norway,midfield - Attacking Midfield,right,Dijon FCO,Ligue 1
Yassine Benzia,26,"1,78 m",Algeria  France,midfield - Attacking Midfield,right,Dijon FCO,Ligue 1
Amir Arli,18,"1,93 m",Turkey  France,midfield - Attacking Midfield,,FCO Dijon U19,Ligue 1
Frédéric Sammaritano,34,"1,62 m",France,midfield - Attacking Midfield,right,Dijon FCO,Ligue 1
Mounir Chouiar,21,"1,80 m",France  Morocco,attack - Left Winger,right,Dijon FCO,Ligue 1
Alexandru Dobre,22,"1,85 m",Romania,attack - Left Winger,right,Dijon FCO,Ligue 1
Éric Ebimbe,20,"1,83 m",France  Cameroon,attack - Right Winger,right,Dijon FCO,Ligue 1
Mama Baldé,25,"1,81 m",Guinea-Bissau  Portugal,attack - Right Winger,right,Dijon FCO,Ligue 1
Roger Assalé,27,"1,67 m",Cote d'Ivoire,attack - Centre-Forward,right,Dijon FCO,Ligue 1
Moussa Konaté,27,"1,83 m",Senegal,attack - Centre-Forward,right,Dijon FCO,Ligue 1
Aurélien Scheidler,22,"1,92 m",France,attack - Centre-Forward,right,Dijon FCO,Ligue 1
Paul Nardi,26,"1,88 m",France,Goalkeeper,right,FC Lorient,Ligue 1
Matthieu Dreyer,31,"1,88 m",France,Goalkeeper,right,FC Lorient,Ligue 1
Teddy Bartouche,23,"1,78 m",France  Guadeloupe,Goalkeeper,right,FC Lorient,Ligue 1
Thomas Callens,22,"1,82 m",France,Goalkeeper,left,FC Lorient,Ligue 1
Andreaw Gravillon,22,"1,88 m",Guadeloupe  France,Defender - Centre-Back,right,FC Lorient,Ligue 1
Julien Laporte,27,"1,85 m",France,Defender - Centre-Back,right,FC Lorient,Ligue 1
Thomas Fontaine,29,"1,85 m",Madagascar  France,Defender - Centre-Back,left,FC Lorient,Ligue 1
Matthieu Saunier,30,"1,81 m",France,Defender - Centre-Back,right,FC Lorient,Ligue 1
Jérémy Morel,36,"1,72 m",Madagascar  France,Defender - Centre-Back,left,FC Lorient,Ligue 1
Vincent Le Goff,31,"1,77 m",France,Defender - Left-Back,left,FC Lorient,Ligue 1
Houboulang Mendes,22,"1,84 m",France  Guinea-Bissau,Defender - Right-Back,right,FC Lorient,Ligue 1
Jérôme Hergault,34,"1,85 m",France,Defender - Right-Back,right,FC Lorient,Ligue 1
Trevoh Chalobah,21,"1,90 m",England  Sierra Leone,midfield - Defensive Midfield,right,FC Lorient,Ligue 1
Laurent Abergel,27,"1,70 m",France,midfield - Defensive Midfield,right,FC Lorient,Ligue 1
Thomas Monconduit,29,"1,84 m",France,midfield - Defensive Midfield,right,FC Lorient,Ligue 1
Fabien Lemoine,33,"1,75 m",France,midfield - Defensive Midfield,right,FC Lorient,Ligue 1
Franklin Wadja,25,"1,85 m",Cameroon,midfield - Defensive Midfield,right,FC Lorient,Ligue 1
Malamine Doumbouya,20,"1,86 m",France  Guinea,midfield - Defensive Midfield,,FC Lorient B,Ligue 1
Enzo Le Fée,20,"1,70 m",France,midfield - Central Midfield,right,FC Lorient,Ligue 1
Jonathan Delaplace,34,"1,68 m",France,midfield - Central Midfield,right,FC Lorient,Ligue 1
Quentin Boisgard,23,"1,74 m",France,midfield - Attacking Midfield,right,FC Lorient,Ligue 1
Sylvain Marveaux,34,"1,72 m",France  Martinique,midfield - Attacking Midfield,left,FC Lorient,Ligue 1
Yoane Wissa,24,"1,80 m",DR Congo  France,attack - Left Winger,right,FC Lorient,Ligue 1
Armand Laurienté,22,"1,77 m",France  Guadeloupe,attack - Right Winger,right,FC Lorient,Ligue 1
Stéphane Diarra,22,"1,73 m",Cote d'Ivoire  France,attack - Right Winger,left,FC Lorient,Ligue 1
Adrian Grbic,24,"1,88 m",Austria  Croatia,attack - Centre-Forward,both,FC Lorient,Ligue 1
Terem Moffi,21,"1,88 m",Nigeria,attack - Centre-Forward,left,FC Lorient,Ligue 1
Pierre-Yves Hamel,26,"1,89 m",France,attack - Centre-Forward,right,FC Lorient,Ligue 1
Umut Bozok,24,"1,78 m",Turkey  France,attack - Centre-Forward,right,FC Lorient,Ligue 1
Baptiste Reynet,30,"1,85 m",France,Goalkeeper,right,Nîmes Olympique,Ligue 1
Lucas Dias,21,"1,87 m",France  Portugal,Goalkeeper,right,Nîmes Olympique,Ligue 1
Anthony Briancon,26,"1,85 m",France,Defender - Centre-Back,right,Nîmes Olympique,Ligue 1
Pablo Martinez,31,"1,82 m",France  Spain,Defender - Centre-Back,left,Nîmes Olympique,Ligue 1
Loïck Landre,28,"1,82 m",France  Guadeloupe,Defender - Centre-Back,right,Nîmes Olympique,Ligue 1
Kelyan Guessoum,21,"1,77 m",France  Algeria,Defender - Centre-Back,right,Nîmes Olympique,Ligue 1
Birger Meling,26,"1,73 m",Norway,Defender - Left-Back,left,Nîmes Olympique,Ligue 1
Florian Miguel,24,"1,79 m",France  Portugal,Defender - Left-Back,left,Nîmes Olympique,Ligue 1
Patrick Burner,24,"1,70 m",France  Martinique,Defender - Right-Back,right,Nîmes Olympique,Ligue 1
Sofiane Alakouch,22,"1,75 m",France  Morocco,Defender - Right-Back,right,Nîmes Olympique,Ligue 1
Gaëtan Paquiez,26,"1,82 m",France,Defender - Right-Back,left,Nîmes Olympique,Ligue 1
Andrés Cubas,24,"1,66 m",Paraguay  Argentina,midfield - Defensive Midfield,right,Nîmes Olympique,Ligue 1
Sidy Sarr,24,"1,96 m",Senegal,midfield - Defensive Midfield,left,Nîmes Olympique,Ligue 1
Lucas Deaux,32,"1,88 m",France,midfield - Defensive Midfield,right,Nîmes Olympique,Ligue 1
Mattéo Ahlinvi,21,"1,83 m",Benin  France,midfield - Defensive Midfield,left,Nîmes Olympique,Ligue 1
Lamine Fomba,22,"1,87 m",France  Mali,midfield - Central Midfield,right,Nîmes Olympique,Ligue 1
Antoine Valerio,21,"1,85 m",France,midfield - Central Midfield,,Nîmes Olympique,Ligue 1
Zinedine Ferhat,27,"1,80 m",Algeria,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
Renaud Ripart,27,"1,81 m",France,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
Lucas Buades,23,"1,81 m",France,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
Niclas Eliasson,25,"1,78 m",Sweden  Brazil,midfield - Left Midfield,left,Nîmes Olympique,Ligue 1
Haris Duljevic,27,"1,85 m",Bosnia-Herzegovina,midfield - Left Midfield,right,Nîmes Olympique,Ligue 1
Yassine Benrahou,21,"1,70 m",Morocco  France,midfield - Attacking Midfield,right,Nîmes Olympique,Ligue 1
Moussa Koné,24,"1,75 m",Senegal,attack - Centre-Forward,right,Nîmes Olympique,Ligue 1
Nolan Roux,32,"1,82 m",France,attack - Centre-Forward,right,Nîmes Olympique,Ligue 1
Karim Aribi,26,"1,92 m",Algeria,attack - Centre-Forward,right,Nîmes Olympique,Ligue 1
Clément Depres,26,"1,88 m",France,attack - Centre-Forward,right,Nîmes Olympique,Ligue 1
Sami Ben Amar,22,"1,85 m",Morocco  France,attack - Centre-Forward,right,Nîmes Olympique,Ligue 1
