name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Lasse Sobiech,29,196.0,Germany,Defender - Centre-Back,right,FC Zürich,17.0,0.0,945.0,0.0,7.0,1.0,630.0,0.0,7.0,2.0,630.0,0.0,Bundesliga
Robert Voloder,19,185.0,Germany,Defender - Centre-Back,left,1. FC Köln,21.0,2.0,1841.0,0.0,20.0,5.0,1720.0,0.0,8.0,0.0,596.0,0.0,Bundesliga
Noah Katterbach,19,180.0,Germany,Defender - Left-Back,left,1. FC Köln,21.0,1.0,1834.0,0.0,24.0,0.0,1858.0,0.0,7.0,0.0,302.0,0.0,Bundesliga
Kingsley Ehizibue,25,189.0,Nigeria  Netherlands,Defender - Right-Back,right,1. FC Köln,35.0,1.0,3071.0,0.0,32.0,1.0,2448.0,0.0,8.0,0.0,324.0,0.0,Bundesliga
Benno Schmitz,26,182.0,Germany,Defender - Right-Back,right,1. FC Köln,16.0,0.0,1322.0,0.0,20.0,0.0,1348.0,0.0,3.0,0.0,39.0,0.0,Bundesliga
Matthias Bader,23,176.0,Germany,Defender - Right-Back,right,SV Darmstadt 98,4.0,0.0,347.0,0.0,19.0,1.0,1448.0,0.0,7.0,0.0,421.0,0.0,Bundesliga
Jonas Hector,30,185.0,Germany,Midfielder - Defensive Midfield,left,1. FC Köln,31.0,6.0,2801.0,0.0,31.0,5.0,2645.0,0.0,3.0,1.0,212.0,0.0,Bundesliga
Ellyes Skhiri,25,185.0,Tunisia  France,Midfielder - Defensive Midfield,right,1. FC Köln,38.0,3.0,3181.0,0.0,33.0,1.0,2764.0,0.0,10.0,3.0,861.0,0.0,Bundesliga
Birger Verstraete,26,175.0,Belgium,Midfielder - Defensive Midfield,right,Royal Antwerp FC,42.0,5.0,3162.0,0.0,11.0,0.0,829.0,0.0,10.0,0.0,452.0,0.0,Bundesliga
Marco Höger,31,182.0,Germany,Midfielder - Defensive Midfield,right,1. FC Köln,28.0,1.0,2155.0,0.0,16.0,0.0,727.0,0.0,3.0,0.0,109.0,0.0,Bundesliga
Elvis Rexhbecaj,23,182.0,Germany  Kosovo,Midfielder - Central Midfield,left,1. FC Köln,29.0,3.0,1564.0,0.0,18.0,1.0,1002.0,0.0,10.0,3.0,732.0,0.0,Bundesliga
Vincent Koziello,25,168.0,France  Poland,Midfielder - Central Midfield,right,CD Nacional,15.0,1.0,626.0,0.0,8.0,0.0,638.0,0.0,6.0,0.0,378.0,0.0,Bundesliga
Niklas Hauptmann,24,176.0,Germany,Midfielder - Central Midfield,left,Holstein Kiel,13.0,0.0,560.0,0.0,5.0,2.0,333.0,0.0,11.0,0.0,397.0,0.0,Bundesliga
Marcel Risse,30,183.0,Germany,Midfielder - Right Midfield,right,FC Viktoria Köln,23.0,2.0,1771.0,0.0,7.0,0.0,183.0,0.0,8.0,2.0,538.0,0.0,Bundesliga
Louis Schaub,25,177.0,Austria,Midfielder - Attacking Midfield,left,FC Luzern,29.0,4.0,1951.0,0.0,23.0,2.0,1368.0,0.0,10.0,2.0,783.0,0.0,Bundesliga
Dominick Drexler,30,183.0,Germany,Midfielder - Attacking Midfield,right,1. FC Köln,35.0,11.0,3117.0,0.0,29.0,3.0,1739.0,0.0,9.0,3.0,465.0,0.0,Bundesliga
Ismail Jakobs,21,183.0,Germany  Senegal,Forward - Left Winger,left,1. FC Köln,17.0,3.0,1326.0,0.0,23.0,2.0,1929.0,0.0,7.0,0.0,630.0,0.0,Bundesliga
Florian Kainz,28,176.0,Austria,Forward - Left Winger,right,1. FC Köln,24.0,2.0,1774.0,0.0,29.0,6.0,1680.0,0.0,,,,,Bundesliga
Darko Churlinov,20,180.0,North Macedonia,Forward - Left Winger,right,VfB Stuttgart,24.0,18.0,2021.0,0.0,17.0,7.0,984.0,0.0,4.0,0.0,53.0,0.0,Bundesliga
Jan Thielmann,18,178.0,Germany,Forward - Right Winger,right,1. FC Köln,27.0,17.0,2050.0,0.0,27.0,6.0,1878.0,0.0,10.0,1.0,562.0,0.0,Bundesliga
Kingsley Schindler,27,183.0,Germany  Ghana,Forward - Right Winger,right,Hannover 96,26.0,7.0,1910.0,0.0,15.0,0.0,986.0,0.0,10.0,0.0,578.0,0.0,Bundesliga
Christian Clemens,29,179.0,Germany,Forward - Right Winger,right,1. FC Köln,21.0,2.0,1461.0,0.0,1.0,0.0,15.0,0.0,6.0,0.0,472.0,0.0,Bundesliga
Tim Lemperle,18,187.0,Germany,Forward - Right Winger,right,1. FC Köln,28.0,12.0,1849.0,0.0,17.0,3.0,1226.0,0.0,14.0,3.0,954.0,0.0,Bundesliga
Mark Uth,29,185.0,Germany,Forward - Second Striker,left,FC Schalke 04,29.0,4.0,2113.0,0.0,25.0,5.0,1666.0,0.0,8.0,2.0,714.0,0.0,Bundesliga
Jhon Córdoba,27,188.0,Colombia,Forward - Centre-Forward,right,Hertha BSC,33.0,21.0,2012.0,0.0,31.0,14.0,2154.0,0.0,7.0,3.0,464.0,0.0,Bundesliga
Anthony Modeste,32,187.0,France  Martinique,Forward - Centre-Forward,right,1. FC Köln,10.0,6.0,367.0,0.0,29.0,4.0,1294.0,0.0,2.0,0.0,21.0,0.0,Bundesliga
Simon Terodde,32,192.0,Germany,Forward - Centre-Forward,right,Hamburger SV,35.0,33.0,2559.0,0.0,25.0,4.0,879.0,0.0,11.0,9.0,874.0,0.0,Bundesliga
Zack Steffen,25,191.0,United States,Goalkeeper,right,Manchester City,13.0,0.0,1170.0,0.0,18.0,0.0,1650.0,0.0,2.0,0.0,180.0,0.0,Bundesliga
Florian Kastenmeier,23,192.0,Germany,Goalkeeper,right,Fortuna Düsseldorf,31.0,0.0,2771.0,0.0,20.0,0.0,1860.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Raphael Wolf,32,190.0,Germany,Goalkeeper,right,Fortuna Düsseldorf,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Michael Rensing,36,190.0,Germany,Goalkeeper,right,Without Club,33.0,0.0,2970.0,0.0,0.0,0.0,0.0,0.0,,,,,Bundesliga
Maduka Okoye,21,198.0,Nigeria  Germany,Goalkeeper,right,Sparta Rotterdam,15.0,0.0,1350.0,0.0,14.0,0.0,1201.0,0.0,8.0,0.0,750.0,0.0,Bundesliga
Jannick Theißen,22,188.0,Germany,Goalkeeper,right,FC Schalke 04 II,15.0,0.0,1350.0,0.0,18.0,0.0,1620.0,0.0,10.0,0.0,900.0,0.0,Bundesliga
Tim Wiesner,24,192.0,Germany,Goalkeeper,both,Fortuna Düsseldorf II,,,,,,,,,3.0,0.0,270.0,0.0,Bundesliga
Kaan Ayhan,26,185.0,Turkey  Germany,Defender - Centre-Back,right,US Sassuolo,31.0,4.0,2721.0,0.0,34.0,2.0,3063.0,0.0,9.0,0.0,454.0,0.0,Bundesliga
Kasim Adams,25,190.0,Ghana,Defender - Centre-Back,right,TSG 1899 Hoffenheim,16.0,0.0,1136.0,0.0,15.0,2.0,1104.0,0.0,5.0,0.0,338.0,0.0,Bundesliga
Andre Hoffmann,27,188.0,Germany,Defender - Centre-Back,right,Fortuna Düsseldorf,15.0,0.0,1227.0,0.0,31.0,2.0,2670.0,0.0,7.0,0.0,478.0,0.0,Bundesliga
Zanka,30,189.0,Denmark  The Gambia,Defender - Centre-Back,right,FC Copenhagen,25.0,3.0,2238.0,0.0,30.0,4.0,2147.0,0.0,10.0,0.0,900.0,0.0,Bundesliga
Robin Bormuth,25,190.0,Germany,Defender - Centre-Back,right,Karlsruher SC,13.0,0.0,882.0,0.0,5.0,0.0,360.0,0.0,9.0,0.0,818.0,0.0,Bundesliga
Niko Gießelmann,29,182.0,Germany,Defender - Left-Back,left,1.FC Union Berlin,32.0,0.0,2774.0,0.0,28.0,1.0,2386.0,0.0,5.0,0.0,145.0,0.0,Bundesliga
Markus Suttner,33,179.0,Austria,Defender - Left-Back,left,Austria Vienna,9.0,1.0,761.0,0.0,22.0,0.0,1489.0,0.0,12.0,0.0,1048.0,0.0,Bundesliga
Diego Contento,30,177.0,Germany  Italy,Defender - Left-Back,left,SV Sandhausen,1.0,0.0,22.0,0.0,1.0,0.0,90.0,0.0,10.0,0.0,743.0,0.0,Bundesliga
Michel Stöcker,21,184.0,Germany,Defender - Left-Back,left,Fortuna Düsseldorf II,19.0,0.0,862.0,0.0,19.0,1.0,1709.0,0.0,7.0,0.0,488.0,0.0,Bundesliga
Matthias Zimmermann,28,177.0,Germany,Defender - Right-Back,right,Fortuna Düsseldorf,36.0,1.0,3230.0,0.0,38.0,2.0,3250.0,0.0,9.0,1.0,648.0,0.0,Bundesliga
Jean Zimmer,27,172.0,Germany,Defender - Right-Back,right,Fortuna Düsseldorf,20.0,1.0,1618.0,0.0,19.0,0.0,800.0,0.0,8.0,0.0,550.0,0.0,Bundesliga
Marcel Sobottka,26,185.0,Germany,Midfielder - Defensive Midfield,right,Fortuna Düsseldorf,15.0,0.0,1034.0,0.0,21.0,0.0,835.0,0.0,10.0,1.0,684.0,0.0,Bundesliga
Adam Bodzek,35,184.0,Germany  Poland,Midfielder - Defensive Midfield,right,Fortuna Düsseldorf,21.0,0.0,1602.0,0.0,30.0,0.0,2105.0,0.0,11.0,0.0,772.0,0.0,Bundesliga
Johannes Bühler,23,181.0,Germany,Midfielder - Defensive Midfield,right,Fortuna Düsseldorf II,9.0,0.0,585.0,0.0,13.0,0.0,992.0,0.0,,,,,Bundesliga
Valon Berisha,27,176.0,Kosovo  Norway,Midfielder - Central Midfield,right,Stade Reims,14.0,0.0,538.0,0.0,21.0,0.0,1227.0,0.0,13.0,1.0,934.0,0.0,Bundesliga
Lewis Baker,25,182.0,England  Jamaica,Midfielder - Central Midfield,both,Trabzonspor,33.0,1.0,1969.0,0.0,9.0,0.0,651.0,0.0,9.0,1.0,810.0,0.0,Bundesliga
Alfredo Morales,30,183.0,United States  Germany,Midfielder - Central Midfield,right,Fortuna Düsseldorf,26.0,1.0,1713.0,0.0,31.0,1.0,2146.0,0.0,4.0,0.0,200.0,0.0,Bundesliga
Oliver Fink,38,187.0,Germany,Midfielder - Central Midfield,right,Fortuna Düsseldorf II,19.0,3.0,1082.0,0.0,16.0,0.0,795.0,0.0,14.0,3.0,1168.0,0.0,Bundesliga
Erik Thommy,26,175.0,Germany,Midfielder - Left Midfield,right,VfB Stuttgart,21.0,1.0,939.0,0.0,37.0,6.0,2514.0,0.0,,,,,Bundesliga
Kevin Stöger,27,175.0,Austria,Midfielder - Attacking Midfield,left,1.FSV Mainz 05,28.0,2.0,2292.0,0.0,19.0,1.0,1433.0,0.0,3.0,1.0,43.0,0.0,Bundesliga
Aymen Barkok,22,188.0,Morocco  Germany,Midfielder - Attacking Midfield,right,Eintracht Frankfurt,16.0,1.0,841.0,0.0,11.0,4.0,736.0,0.0,10.0,1.0,323.0,0.0,Bundesliga
Thomas Pledl,26,174.0,Germany,Midfielder - Attacking Midfield,right,Fortuna Düsseldorf,29.0,3.0,1976.0,0.0,7.0,0.0,245.0,0.0,11.0,1.0,538.0,0.0,Bundesliga
Kelvin Ofori,19,172.0,Ghana,Midfielder - Attacking Midfield,left,Fortuna Düsseldorf,,,,,8.0,3.0,437.0,0.0,9.0,0.0,257.0,0.0,Bundesliga
Shinta Appelkamp,20,175.0,Japan  Germany,Midfielder - Attacking Midfield,right,Fortuna Düsseldorf,27.0,11.0,2048.0,0.0,19.0,8.0,1544.0,0.0,8.0,0.0,446.0,0.0,Bundesliga
Nana Ampomah,24,175.0,Ghana,Forward - Left Winger,right,Royal Antwerp FC,30.0,8.0,2227.0,0.0,16.0,2.0,709.0,0.0,11.0,0.0,287.0,0.0,Bundesliga
Steven Skrzybski,28,174.0,Germany,Forward - Right Winger,right,FC Schalke 04,16.0,3.0,756.0,0.0,17.0,4.0,936.0,0.0,7.0,0.0,418.0,0.0,Bundesliga
Bernard Tekpetey,23,172.0,Ghana,Forward - Right Winger,right,PFK Ludogorets Razgrad,36.0,11.0,2369.0,0.0,10.0,0.0,494.0,0.0,19.0,0.0,944.0,0.0,Bundesliga
Dawid Kownacki,23,186.0,Poland,Forward - Centre-Forward,right,Fortuna Düsseldorf,27.0,6.0,969.0,0.0,21.0,0.0,1179.0,0.0,6.0,2.0,149.0,0.0,Bundesliga
Kenan Karaman,26,189.0,Turkey  Germany,Forward - Centre-Forward,right,Fortuna Düsseldorf,22.0,3.0,947.0,0.0,21.0,6.0,1432.0,0.0,9.0,3.0,738.0,0.0,Bundesliga
Rouwen Hennings,33,180.0,Germany,Forward - Centre-Forward,left,Fortuna Düsseldorf,32.0,9.0,2069.0,0.0,36.0,19.0,2879.0,0.0,10.0,3.0,840.0,0.0,Bundesliga
Rafal Gikiewicz,33,190.0,Poland,Goalkeeper,right,FC Augsburg,38.0,1.0,3450.0,0.0,37.0,0.0,3330.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Jakob Busk,27,189.0,Denmark,Goalkeeper,right,1.FC Union Berlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Bundesliga
Moritz Nicolas,23,193.0,Germany,Goalkeeper,right,VfL Osnabrück,27.0,0.0,2430.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Leo Oppermann,19,191.0,Germany,Goalkeeper,,Hamburger SV II,20.0,0.0,1800.0,0.0,17.0,0.0,1485.0,0.0,10.0,0.0,900.0,0.0,Bundesliga
Marvin Friedrich,24,192.0,Germany,Defender - Centre-Back,right,1.FC Union Berlin,38.0,1.0,3448.0,0.0,34.0,2.0,3060.0,0.0,11.0,2.0,1020.0,0.0,Bundesliga
Keven Schlotterbeck,23,189.0,Germany,Defender - Centre-Back,left,SC Freiburg,20.0,0.0,1762.0,0.0,27.0,1.0,2303.0,0.0,5.0,0.0,394.0,0.0,Bundesliga
Neven Subotic,31,193.0,Germany  Serbia,Defender - Centre-Back,right,Denizlispor,28.0,1.0,2362.0,0.0,23.0,1.0,1971.0,0.0,5.0,1.0,404.0,0.0,Bundesliga
Florian Hübner,29,193.0,Germany,Defender - Centre-Back,right,1.FC Union Berlin,31.0,2.0,2714.0,0.0,11.0,0.0,849.0,0.0,1.0,0.0,90.0,0.0,Bundesliga
Nicolai Rapp,23,186.0,Germany,Defender - Centre-Back,right,SV Darmstadt 98,19.0,0.0,1394.0,0.0,14.0,0.0,1044.0,0.0,9.0,1.0,790.0,0.0,Bundesliga
Lars Dietz,23,190.0,Germany,Defender - Centre-Back,right,Würzburger Kickers,16.0,0.0,1322.0,0.0,22.0,0.0,1788.0,0.0,6.0,1.0,506.0,0.0,Bundesliga
Michael Parensen,34,180.0,Germany,Defender - Centre-Back,left,Retired,12.0,0.0,661.0,0.0,13.0,1.0,909.0,0.0,,,,,Bundesliga
Christopher Lenz,26,180.0,Germany,Defender - Left-Back,left,1.FC Union Berlin,13.0,0.0,880.0,0.0,30.0,1.0,2610.0,0.0,10.0,0.0,883.0,0.0,Bundesliga
Ken Reichel,33,185.0,Germany,Defender - Left-Back,left,VfL Osnabrück,30.0,0.0,2561.0,0.0,7.0,0.0,534.0,0.0,9.0,0.0,658.0,0.0,Bundesliga
Christopher Trimmel,33,189.0,Austria,Defender - Right-Back,right,1.FC Union Berlin,35.0,0.0,3163.0,0.0,35.0,0.0,3060.0,0.0,10.0,0.0,870.0,0.0,Bundesliga
Julian Ryerson,23,183.0,Norway  United States,Defender - Right-Back,right,1.FC Union Berlin,9.0,0.0,401.0,0.0,17.0,0.0,536.0,0.0,7.0,0.0,223.0,0.0,Bundesliga
Manuel Schmiedebach,32,171.0,Germany,Midfielder - Defensive Midfield,right,Without Club,36.0,0.0,3032.0,0.0,6.0,0.0,255.0,0.0,,,,,Bundesliga
Maurice Opfermann Arcones,20,172.0,Germany  Spain,Midfielder - Defensive Midfield,,Without Club,15.0,0.0,1088.0,0.0,,,,,,,,,Bundesliga
Robert Andrich,26,187.0,Germany,Midfielder - Central Midfield,right,1.FC Union Berlin,27.0,4.0,1894.0,0.0,34.0,4.0,2873.0,0.0,11.0,3.0,848.0,0.0,Bundesliga
Grischa Prömel,25,184.0,Germany,Midfielder - Central Midfield,both,1.FC Union Berlin,33.0,7.0,2981.0,0.0,19.0,0.0,1108.0,0.0,8.0,0.0,667.0,0.0,Bundesliga
Christian Gentner,35,189.0,Germany,Midfielder - Central Midfield,right,1.FC Union Berlin,32.0,1.0,2231.0,0.0,34.0,4.0,2628.0,0.0,6.0,0.0,354.0,0.0,Bundesliga
Felix Kroos,29,184.0,Germany,Midfielder - Central Midfield,right,Eintracht Braunschweig,27.0,3.0,1465.0,0.0,16.0,0.0,378.0,0.0,9.0,0.0,685.0,0.0,Bundesliga
Yunus Malli,28,179.0,Turkey  Germany,Midfielder - Attacking Midfield,right,VfL Wolfsburg,23.0,1.0,773.0,0.0,15.0,0.0,726.0,0.0,1.0,0.0,58.0,0.0,Bundesliga
Julius Kade,21,182.0,Germany,Midfielder - Attacking Midfield,left,SG Dynamo Dresden,9.0,4.0,794.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,295.0,0.0,Bundesliga
Laurenz Dehl,18,181.0,Germany,Midfielder - Attacking Midfield,,Hallescher FC,16.0,5.0,1347.0,0.0,8.0,5.0,639.0,0.0,9.0,2.0,346.0,0.0,Bundesliga
Marius Bülter,27,188.0,Germany,Forward - Left Winger,right,1.FC Union Berlin,33.0,4.0,2342.0,0.0,36.0,7.0,2529.0,0.0,9.0,1.0,421.0,0.0,Bundesliga
Joshua Mees,24,180.0,Germany,Forward - Left Winger,both,Holstein Kiel,23.0,6.0,1143.0,0.0,17.0,2.0,430.0,0.0,9.0,1.0,192.0,0.0,Bundesliga
Marcus Ingvartsen,24,187.0,Denmark,Forward - Right Winger,left,1.FC Union Berlin,11.0,1.0,174.0,0.0,32.0,6.0,2063.0,0.0,9.0,1.0,640.0,0.0,Bundesliga
Akaki Gogia,28,178.0,Germany  Georgia,Forward - Right Winger,both,1.FC Union Berlin,31.0,6.0,1505.0,0.0,3.0,0.0,120.0,0.0,3.0,0.0,104.0,0.0,Bundesliga
Sheraldo Becker,25,180.0,Suriname  Netherlands,Forward - Right Winger,right,1.FC Union Berlin,35.0,8.0,3081.0,0.0,14.0,0.0,595.0,0.0,10.0,1.0,649.0,0.0,Bundesliga
Florian Flecker,25,177.0,Austria,Forward - Right Winger,right,Würzburger Kickers,35.0,7.0,2880.0,0.0,2.0,0.0,104.0,0.0,8.0,0.0,551.0,0.0,Bundesliga
Sebastian Andersson,29,190.0,Sweden,Forward - Centre-Forward,right,1. FC Köln,38.0,13.0,2947.0,0.0,36.0,13.0,2873.0,0.0,9.0,2.0,676.0,0.0,Bundesliga
Sebastian Polter,29,192.0,Germany,Forward - Centre-Forward,right,Fortuna Sittard,21.0,11.0,943.0,0.0,13.0,2.0,326.0,0.0,12.0,4.0,991.0,0.0,Bundesliga
Suleiman Abdullahi,23,185.0,Nigeria,Forward - Centre-Forward,right,Eintracht Braunschweig,22.0,3.0,1294.0,0.0,6.0,1.0,153.0,0.0,4.0,1.0,296.0,0.0,Bundesliga
Anthony Ujah,30,180.0,Nigeria,Forward - Centre-Forward,right,1.FC Union Berlin,23.0,4.0,843.0,0.0,28.0,4.0,1181.0,0.0,,,,,Bundesliga
Leopold Zingerle,26,185.0,Germany,Goalkeeper,right,SC Paderborn 07,35.0,0.0,3086.0,0.0,29.0,0.0,2610.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Jannik Huth,26,183.0,Germany,Goalkeeper,right,SC Paderborn 07,0.0,0.0,0.0,0.0,8.0,0.0,750.0,0.0,,,,,Bundesliga
Michael Ratajczak,38,188.0,Germany,Goalkeeper,right,Hannover 96,5.0,0.0,333.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Leon Brüggemeier,23,193.0,Germany,Goalkeeper,both,Without Club,9.0,0.0,734.0,0.0,10.0,0.0,900.0,0.0,,,,,Bundesliga
Sebastian Schonlau,26,185.0,Germany,Defender - Centre-Back,right,SC Paderborn 07,32.0,1.0,2875.0,0.0,25.0,3.0,2250.0,0.0,11.0,0.0,968.0,0.0,Bundesliga
Luca Kilian,21,192.0,Germany,Defender - Centre-Back,right,1.FSV Mainz 05,28.0,4.0,2193.0,0.0,16.0,0.0,1381.0,0.0,6.0,0.0,379.0,0.0,Bundesliga
Christian Strohdiek,32,192.0,Germany,Defender - Centre-Back,right,SC Paderborn 07,24.0,0.0,2114.0,0.0,17.0,1.0,1484.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Uwe Hünemeier,34,189.0,Germany,Defender - Centre-Back,right,SC Paderborn 07,26.0,4.0,1871.0,0.0,17.0,2.0,1328.0,0.0,10.0,2.0,723.0,0.0,Bundesliga
Jan-Luca Rumpf,21,190.0,Germany,Defender - Centre-Back,right,SC Fortuna Köln,16.0,1.0,1440.0,0.0,20.0,2.0,1800.0,0.0,13.0,0.0,527.0,0.0,Bundesliga
Jamilu Collins,26,183.0,Nigeria,Defender - Left-Back,left,SC Paderborn 07,38.0,0.0,3310.0,0.0,32.0,1.0,2767.0,0.0,7.0,0.0,597.0,0.0,Bundesliga
Mohamed Dräger,24,178.0,Tunisia  Germany,Defender - Right-Back,right,Olympiacos Piraeus,36.0,0.0,3147.0,0.0,18.0,1.0,1457.0,0.0,4.0,0.0,243.0,0.0,Bundesliga
Laurent Jans,28,175.0,Luxembourg,Defender - Right-Back,right,Standard Liège,15.0,0.0,1191.0,0.0,24.0,0.0,1781.0,0.0,8.0,0.0,313.0,0.0,Bundesliga
Klaus Gjasula,30,190.0,Albania  Germany,Midfielder - Defensive Midfield,both,Hamburger SV,27.0,1.0,1477.0,0.0,31.0,2.0,2490.0,0.0,9.0,0.0,382.0,0.0,Bundesliga
Samúel Fridjónsson,24,186.0,Iceland,Midfielder - Defensive Midfield,right,Viking Stavanger,33.0,5.0,2565.0,0.0,11.0,1.0,484.0,0.0,,,,,Bundesliga
Adrian Oeynhausen,18,178.0,Germany,Midfielder - Defensive Midfield,right,SC Paderborn 07,25.0,1.0,1891.0,0.0,2.0,0.0,119.0,0.0,4.0,0.0,274.0,0.0,Bundesliga
Dominik Bilogrevic,21,190.0,Croatia  Germany,Midfielder - Defensive Midfield,,Bonner SC,30.0,1.0,2391.0,0.0,17.0,6.0,1475.0,0.0,17.0,0.0,1460.0,0.0,Bundesliga
Sebastian Vasiliadis,23,177.0,Greece  Germany,Midfielder - Central Midfield,right,SC Paderborn 07,31.0,6.0,2342.0,0.0,33.0,1.0,2932.0,0.0,7.0,0.0,399.0,0.0,Bundesliga
Rifet Kapic,25,179.0,Bosnia-Herzegovina,Midfielder - Central Midfield,left,Sheriff Tiraspol,26.0,3.0,1491.0,0.0,6.0,2.0,525.0,0.0,9.0,0.0,334.0,0.0,Bundesliga
Abdelhamid Sabiri,24,186.0,Germany  Morocco,Midfielder - Attacking Midfield,right,Ascoli Calcio,3.0,0.0,93.0,0.0,25.0,4.0,1124.0,0.0,8.0,2.0,533.0,0.0,Bundesliga
Marlon Ritter,26,173.0,Germany,Midfielder - Attacking Midfield,both,1.FC Kaiserslautern,23.0,2.0,821.0,0.0,12.0,1.0,519.0,0.0,16.0,2.0,1084.0,0.0,Bundesliga
Antony Evans,22,186.0,England,Midfielder - Attacking Midfield,right,SC Paderborn 07,25.0,3.0,1632.0,0.0,22.0,6.0,1580.0,0.0,2.0,0.0,13.0,0.0,Bundesliga
Christopher Antwi-Adjei,26,173.0,Germany  Ghana,Forward - Left Winger,right,SC Paderborn 07,35.0,11.0,2372.0,0.0,36.0,2.0,2682.0,0.0,9.0,0.0,684.0,0.0,Bundesliga
Gerrit Holtmann,25,185.0,Germany,Forward - Left Winger,left,VfL Bochum,7.0,0.0,371.0,0.0,26.0,1.0,1199.0,0.0,7.0,0.0,438.0,0.0,Bundesliga
Dennis Jastrzembski,20,177.0,Poland  Germany,Forward - Left Winger,left,SC Paderborn 07,30.0,6.0,2035.0,0.0,17.0,1.0,500.0,0.0,3.0,0.0,23.0,0.0,Bundesliga
Cauly,25,175.0,Brazil  Germany,Forward - Right Winger,both,PFK Ludogorets Razgrad,31.0,6.0,2190.0,0.0,23.0,4.0,1485.0,0.0,21.0,3.0,1680.0,0.0,Bundesliga
Kai Pröger,28,177.0,Germany,Forward - Right Winger,right,SC Paderborn 07,38.0,9.0,2859.0,0.0,33.0,2.0,2222.0,0.0,11.0,0.0,493.0,0.0,Bundesliga
Ben Zolinski,28,181.0,Germany,Forward - Second Striker,right,FC Erzgebirge Aue,36.0,5.0,1854.0,0.0,30.0,3.0,1288.0,0.0,9.0,2.0,616.0,0.0,Bundesliga
Streli Mamba,26,174.0,Germany  DR Congo,Forward - Centre-Forward,right,SC Paderborn 07,41.0,12.0,3251.0,0.0,26.0,6.0,1699.0,0.0,0.0,0.0,0.0,0.0,Bundesliga
Sven Michel,30,179.0,Germany,Forward - Centre-Forward,left,SC Paderborn 07,29.0,10.0,2438.0,0.0,30.0,5.0,1420.0,0.0,3.0,1.0,157.0,0.0,Bundesliga
Dennis Srbeny,26,190.0,Germany,Forward - Centre-Forward,right,SC Paderborn 07,20.0,3.0,577.0,0.0,26.0,6.0,1255.0,0.0,11.0,8.0,901.0,0.0,Bundesliga
Babacar Gueye,25,190.0,Senegal,Forward - Centre-Forward,right,Karlsruher SC,31.0,10.0,1899.0,0.0,14.0,1.0,464.0,0.0,7.0,0.0,242.0,0.0,Bundesliga
Khiry Shelton,27,191.0,United States,Forward - Centre-Forward,,Sporting Kansas City,7.0,2.0,471.0,0.0,34.0,10.0,2393.0,0.0,,,,,Bundesliga
